pwsid,name,state,counties_served,cities_served,population_served,service_connections,owner_type,source_water_type,violations_total_ever,violations_health_based_ever,violations_health_based_last5y,violations_health_based_currently_unaddressed,most_recent_violation_date,most_recent_health_violation_date,contaminants_ever_flagged,last_reported_date
GA1350004,GWINNETT CO. DEPT. OF WATER RESOURCES,GA,Gwinnett,BUFORD,975000,260400,L,SW,8,0,0,0,2012-01-07,,,06/12/2026
TX2200012,CITY OF FORT WORTH,TX,Tarrant,FORT WORTH,955900,653251,L,SW,13,1,0,0,2025-02-07,2021-01-03,Long Term 2 Enhanced Surface Water Treatment Rule,06/26/2026
IN5249004,CITIZENS WATER - INDIANAPOLIS,IN,Marion,INDIANAPOLIS,880345,352138,L,SW,17,0,0,0,2020-01-11,,,06/30/2026
CA3810011,SFPUC CITY DISTRIBUTION DIVISION,CA,San Francisco,BURLINGAME,848019,171099,L,SWP,0,0,0,0,,,,06/22/2026
FL2161328,JEA MAJOR GRID,FL,Duval,JACKSONVILLE,826664,428439,L,GW,15,2,0,0,2024-01-11,2006-01-10,Coliform (TCR),05/18/2026
PA1460073,AQUA PA MAIN SYSTEM,PA,Montgomery,BRYN MAWR,822600,304127,P,SW,120,7,1,0,2025-01-11,2024-01-11,Coliform (TCR); Groundwater Rule; Revised Total Coliform Rule; Surface Water Treatment Rule,06/15/2026
KY0560258,LOUISVILLE WATER COMPANY,KY,Jefferson,LOUISVILLE,806997,311310,P,SW,82,7,0,0,2006-01-10,1999-10-06,"Beryllium, Total; Cadmium; Coliform (TCR); Thallium, Total",06/18/2026
NJ0238001,VEOLIA WATER NEW JERSEY HACKENSACK,NJ,Bergen; Hudson,ALPINE BORO-0202; BERGENFIELD BORO-0203; BOGOTA BORO-0204; CARLSTADT BORO-0205; CLIFFSIDE PARK BORO-0206; CLOSTER BORO-0207; CRESSKILL BORO-0208; DEMAREST BORO-0209; DUMONT BORO-0210; EAST RUTHERFORD BORO-0212; EDGEWATER BORO-0213; EMERSON BORO-0214; ENGLEWOOD CITY-0215; ENGLEWOOD CLIFFS BORO-0216; FAIRVIEW BORO-0218; FORT LEE BORO-0219; GUTTENBERG TOWN-0903; HACKENSACK CITY-0223; HARRINGTON PARK BORO-0224; HASBROUCK HEIGHTS-0225; HAWORTH BORO-0226; HILLSDALE BORO-0227; LEONIA BORO-0229; LITTLE FERRY BORO-0230; LODI BORO-0231; MAYWOOD BORO-0234; MONTVALE BORO-0236; MOONACHIE BORO-0237; NEW MILFORD BORO-0238; NORTH BERGEN TWP.-0908; NORTHVALE BORO-0240; NORWOOD BORO-0241; OLD TAPPAN BORO-0243; ORADELL BORO-0244; PALISADES PARK BORO-0245; PARAMUS BORO-0246; RIDGEFIELD BORO-0249; RIDGEFIELD PARK TWP-0250; RIVER EDGE BORO-0252; RIVER VALE TWP-0253; ROCHELLE PARK TWP-0254; ROCKLEIGH BORO-0255; RUTHERFORD BORO-0256; SECAUCUS TOWN-0909; SOUTH HACKENSACK TWP-.0259; TEANECK TWP-.0260; TENAFLY BORO-0261; TETERBORO BORO-0262; UPPER SADDLE RIVER-0263; WALLINGTON BORO-0265; WASHINGTON TWP.-0266; WEEHAWKEN TWP.-0911; WEST NEW YORK TOWN-0912; WESTWOOD BORO-0267; WOOD-RIDGE BORO-0269; WOODCLIFF LAKE BORO-0268,792713,193600,P,SW,56,2,0,0,2021-01-01,2021-01-01,Lead and Copper Rule; Surface Water Treatment Rule,06/30/2026
TN0000494,METRO WATER SERVICES,,Davidson,NASHVILLE,778153,336863,L,SW,9,2,0,0,2024-01-06,2012-01-02,Interim Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule,05/14/2026
OH3102612,CINCINNATI PUBLIC WATER SYSTEM,OH,Hamilton,CINCINNATI,750200,244716,L,SW,0,0,0,0,,,,05/15/2026
TX0710002,EL PASO WATER UTILITIES,TX,El Paso,EL PASO,747168,236501,L,SW,57,0,0,0,2024-01-03,,,06/26/2026
GA0890001,DEKALB COUNTY,GA,DeKalb,DECATUR,743000,193679,L,SW,3,0,0,0,2021-01-07,,,06/12/2026
FL6290327,CITY OF TAMPA WATER DEPARTMENT,FL,Hillsborough,TAMPA,733886,143661,L,SW,2,0,0,0,2006-10-04,,,05/18/2026
AZ0410112,TUCSON CITY OF,,Pima,TUCSON,732906,191264,L,GW,2076,1,0,0,2026-01-01,1981-07-11,Nitrate,05/14/2026
GA0670003,COBB COUNTY,GA,Cobb,MARIETTA,695000,183518,L,SWP,3,1,0,0,2007-01-07,1992-01-07,Coliform (TCR),06/12/2026
PA5020039,PA AMER WATER CO-PITTSBURGH,PA,Allegheny,ELRAMA,686000,215173,P,SW,10,2,0,0,2017-12-12,2017-01-11,Interim Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule,06/15/2026
MA3035000,BOSTON WATER AND SEWER COMMISSION (MWRA),MA,Suffolk,BOSTON,675647,88895,L,SWP,6,4,0,0,2020-01-11,2020-01-11,Coliform (TCR); Lead and Copper Rule; Surface Water Treatment Rule,06/22/2026
FL4504393,PALM BEACH COUNTY WATER UTILITIES,FL,Palm Beach,WEST PALM BEACH,671114,241801,L,GW,19,1,1,0,2024-01-05,2023-01-12,Revised Total Coliform Rule,05/18/2026
KY0340250,KENTUCKY-AMERICAN WATER CO,KY,Fayette,LEXINGTON,669042,134973,P,SW,7,2,0,0,2015-01-07,2015-01-07,Interim Enhanced Surface Water Treatment Rule; Total Haloacetic Acids (HAA5),06/18/2026
CA3310009,EASTERN MUNICIPAL WD,CA,Riverside,PERRIS,666581,175318,L,SWP,3,0,0,0,2014-01-05,,,06/22/2026
OR4100657,PORTLAND WATER BUREAU,OR,Multnomah,PORTLAND,666200,187700,L,SW,18,4,0,1,2022-01-07,2018-06-12,Coliform (TCR); Long Term 2 Enhanced Surface Water Treatment Rule,06/26/2026
NE3105507,METROPOLITAN UTILITIES DISTRICT,NE,Douglas,OMAHA,660000,220882,L,SW,5,1,0,0,2023-01-04,2000-01-12,Surface Water Treatment Rule,06/30/2026
TN0000450,"MEMPHIS LIGHT, GAS, & WATER",TN,Shelby,MEMPHIS,659500,255620,L,GW,4,0,0,0,2013-01-05,,,05/14/2026
NC0392010,"RALEIGH, CITY OF",NC,Wake,RALEIGH,650000,200114,L,SW,6,0,0,0,2016-01-04,,,06/26/2026
OK1020902,OKLAHOMA CITY,OK,Oklahoma,OKLAHOMA CITY,644000,254388,L,SW,10,6,0,0,2012-01-07,2012-01-01,"CARBON, TOTAL; Interim Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule",05/13/2026
MI0001800,DETROIT CITY OF,MI,Wayne,DETROIT,633218,237000,L,SWP,7,0,0,0,2020-01-07,,,06/23/2026
DC0000002,D.C. WATER AND SEWER AUTHORITY,DC,District of Columbia,WASHINGTON,632323,133500,L,SWP,33,14,0,0,2023-01-01,2004-01-10,Coliform (TCR); Lead and Copper Rule,05/11/2026
HI0000331,HNL-WINDWARD-PEARL HARBOR,HI,Honolulu,HONOLULU-WINDWARD-PEARLHARBOR,631389,106491,L,GW,44,1,0,0,2013-01-10,2013-01-10,Coliform (TCR),06/03/2026
WI2410100,MILWAUKEE WATERWORKS,WI,Milwaukee,MILWAUKEE,626000,231851,L,SW,11,1,0,0,2015-01-01,1999-01-09,Coliform (TCR),05/29/2026
NJ2004002,NJ AMERICAN WATER - RARITAN,NJ,Union,ELIZABETH CITY- 2004; MONROE TWP.-1213,615430,205035,P,SW,432,1,0,0,2019-01-05,2010-01-09,Interim Enhanced Surface Water Treatment Rule,06/30/2026
LA1033005,BATON ROUGE WATER COMPANY,LA,East Baton Rouge Parish,BATON ROUGE,596844,198948,P,GW,5,0,0,0,2012-01-02,,,06/23/2026
AL0000738,CENTRAL ALABAMA WATER SYSTEM,AL,Jefferson,BIRMINGHAM,585000,285263,L,SW,6,0,0,0,2026-01-01,,,05/18/2026
NM3510701,ALBUQUERQUE WATER SYSTEM,NM,Bernalillo,ALBUQUERQUE,560326,206795,L,SW,1,0,0,0,2016-01-07,,,06/16/2026
MO1010415,KANSAS CITY PWS,MO,Cass; Clay; Clinton; Jackson; Platte,KANSAS CITY,553295,179454,L,SW,19,1,0,0,2027-06-12,2019-01-03,Long Term 2 Enhanced Surface Water Treatment Rule,06/16/2026
CA1010007,CITY OF FRESNO,CA,Fresno,FRESNO,545716,144185,L,SW,12,5,0,0,2016-01-01,2009-01-12,"1,2-DIBROMO-3-CHLOROPROPANE; Coliform (TCR); Nitrate",06/22/2026
FL3480962,ORLANDO UTILITIES COMMISSION,FL,Orange,ORLANDO,536466,129207,L,GW,16,1,0,0,2025-01-04,2019-01-07,TTHM,05/18/2026
CO0103005,AURORA CITY OF,CO,Arapahoe,AURORA,533407,91821,L,SW,7,1,0,0,2016-01-01,2011-01-01,Coliform (TCR),06/17/2026
CA3410020,CITY OF SACRAMENTO MAIN,CA,Sacramento,SACRAMENTO,527979,146932,S,SW,2,2,0,0,1993-01-10,1993-01-10,Surface Water Treatment Rule,06/22/2026
NY2701047,MCWA,NY,Monroe; Orleans,BATAVIA (T); BRIGHTON (T); CHILI (T); CHURCHVILLE (V); CLARKSON (T); EAST ROCHESTER (X); FAIRPORT (V); GATES (T); GREECE (T); HAMLIN (T); HENRIETTA (T); HONEOYE FALLS (V); IRONDEQUOIT (T); KENDALL (T); MENDON (T); OAKFIELD (T); OAKFIELD (V); OGDEN (T); PARMA (T); PENFIELD (T); PERINTON (T); PITTSFORD (T); PITTSFORD (V); RIGA (T); ROCHESTER (C); RUSH (T); SCOTTSVILLE (V); SPENCERPORT (V); SWEDEN (T); VICTOR (T); VICTOR (V); WEBSTER (T); WHEATLAND (T),525262,178932,M,SW,2,1,1,1,2025-01-01,2025-01-01,Lead and Copper Rule,06/25/2026
PA5020038,PITTSBURGH WATER & SEWER AUTH,PA,Allegheny,PITTSBURGH,520000,79034,L,SW,81,3,0,0,2025-01-07,2018-01-07,Lead and Copper Rule; Surface Water Treatment Rule,06/15/2026
FL6290787,HCWRD/SOUTH-CENTRAL,FL,Hillsborough,LITHIA,515012,151796,L,SWP,17,10,0,0,2003-01-10,2003-01-10,Coliform (TCR),05/18/2026
FL6521405,PINELLAS COUNTY UTILITIES,FL,Pinellas,CLEARWATER,506353,114525,L,SWP,17,0,0,0,2025-01-10,,,05/18/2026
KS2009110,WATER DISTRICT 1 OF JOHNSON CO,KS,Johnson,KANSAS CITY,490000,157481,L,SW,3,0,0,0,2002-01-01,,,05/15/2026
CA1910065,LONG BEACH UTILITIES DEPARTMENT,CA,Los Angeles,LONG BEACH,466772,89368,L,SWP,2,0,0,0,2017-01-04,,,06/22/2026
AZ0407095,MESA CITY OF,AZ,Maricopa,MESA,466000,142500,L,SW,1579,3,0,0,2025-01-08,2003-01-01,Fluoride; Nitrate,05/14/2026
CO0121150,COLORADO SPRINGS UTILITIES,CO,El Paso,COLORADO SPRINGS,464111,151608,L,SW,5,1,0,0,2018-01-04,1992-01-01,Surface Water Treatment Rule,06/17/2026
WA5386800,TACOMA WATER DIVISION CITY OF,WA,Pierce,TACOMA,446170,155577,L,SW,18,9,0,0,2015-01-07,2014-01-11,Surface Water Treatment Rule,06/19/2026
CA3010092,IRVINE RANCH WATER DISTRICT,CA,Orange,IRVINE,444800,121167,L,SW,4,2,0,0,2020-01-09,2010-01-01,Coliform (TCR); Surface Water Treatment Rule,06/22/2026
NV0000190,TRUCKEE MEADOWS WATER AUTHORITY,NV,Washoe,RENO; SPARKS,442000,120047,L,SW,1,1,0,0,1992-01-01,1992-01-01,Surface Water Treatment Rule,06/17/2026
VA3810900,"VIRGINIA BEACH, CITY OF",VA,,VIRGINIA BEACH CITY,437994,135220,L,SWP,4,1,0,0,2012-01-05,2012-01-05,Coliform (TCR),05/19/2026
GA1210005,NORTH FULTON COUNTY,GA,Fulton,ALPHARETTA,434517,149451,L,SWP,10,1,0,0,2023-01-10,1992-01-12,Coliform (TCR),06/12/2026
SC2310001,GREENVILLE WATER (SC2310001),SC,Greenville,GREENVILLE,426057,195497,L,SW,20,9,0,0,2025-01-10,2005-01-07,Coliform (TCR); Lead and Copper Rule; Surface Water Treatment Rule,06/29/2026
MN1270024,Minneapolis,MN,Hennepin,Minneapolis,425300,97289,L,SW,3,2,0,0,2023-01-01,2004-01-07,Lead and Copper Rule; Surface Water Treatment Rule,05/28/2026
CT0930011,REGIONAL WATER AUTHORITY,CT,New Haven,ANSONIA; BETHANY; BRANFORD; CHESHIRE; DERBY; EAST HAVEN; HAMDEN; MERIDEN; MILFORD; NEW HAVEN; NORTH BRANFORD; NORTH HAVEN; ORANGE; PROSPECT; SEYMOUR; SOUTHINGTON; WALLINGFORD; WEST HAVEN; WOLCOTT; WOODBRIDGE,418900,115707,L,SW,32,0,0,0,2022-06-12,,,06/29/2026
TX2200001,CITY OF ARLINGTON,TX,Tarrant,ARLINGTON,413955,155112,L,SW,4,1,0,0,2020-01-01,2012-01-03,Interim Enhanced Surface Water Treatment Rule,06/26/2026
OK1020418,TULSA,OK,Tulsa,TULSA,413000,162343,L,SW,28,2,0,0,2018-01-04,1994-01-03,Surface Water Treatment Rule,05/13/2026
VA3700500,"NEWPORT NEWS, CITY OF",VA,,NEWPORT NEWS CITY,407300,136940,L,SW,12,0,0,0,1981-12-06,,,05/19/2026
KS2017308,"WICHITA, CITY OF",KS,Sedgwick,WICHITA,395699,143709,L,SW,4,1,0,0,2016-01-07,2010-01-03,Interim Enhanced Surface Water Treatment Rule,05/15/2026
MN1620026,Saint Paul Regional Water Services,MN,Ramsey,St. Paul,392529,94496,L,SW,11,1,1,0,2023-01-04,2022-01-04,Lead and Copper Rule,05/28/2026
NC0234010,"WINSTON-SALEM, CITY OF",NC,Forsyth,CLEMMONS,391900,147043,L,SW,34,0,0,0,2021-01-07,,,06/26/2026
CT0640011,METROPOLITAN DISTRICT COMMISSION,CT,Hartford,BERLIN; BLOOMFIELD; CROMWELL; EAST GRANBY; EAST HARTFORD; FARMINGTON; GLASTONBURY; HARTFORD; MANCHESTER; NEWINGTON; PORTLAND; ROCKY HILL; SOUTH WINDSOR; WEST HARTFORD; WETHERSFIELD; WINDSOR; WINDSOR LOCKS,390887,101735,L,SW,3,0,0,0,2025-01-06,,,06/29/2026
VA4041845,CHESTERFIELD CO CENTRAL WATER SYSTEM,VA,Chesterfield,CHESTERFIELD,389897,124442,L,SW,0,0,0,0,,,,05/19/2026
UTAH18026,SALT LAKE CITY WATER SYSTEM,UT,Salt Lake,SALT LAKE CITY,383612,94977,L,SW,58,1,0,0,2018-01-07,2017-09-09,Groundwater Rule,06/17/2026
NJ1345001,NJ AMERICAN WATER - COASTAL NORTH,NJ,Monmouth; Ocean,ABERDEEN TWP-1330; ASBURY PARK CITY-1303; BAY HEAD BORO-1502; BRADLEY BEACH BORO-1307; BRICK TWP.-1506; EATONTOWN BORO-1311; FAIR HAVEN BORO-1313; FREEHOLD TWP.-1316; HOLMDEL TWP.-1318; HOWELL TWP.-1319; KEANSBURG BORO-1321; LAKEWOOD TWP.-1514; LAVALETTE BORO-1515; LITTLE SILVER BORO-1323; LONG BRANCH CITY-1325; MIDDLETOWN TWP.-1331; NEPTUNE CITY BORO-1335; NEPTUNE TWP.-1334; OCEAN TWP.-1337; OCEANPORT BORO-1338; RED BANK BORO-1340; RUMSON BORO-1342; SHREWSBURY BORO-1345; TINTON FALLS-1336; TOMS RIVER-1507; UNION BEACH BORO-1350; WEST LONG BRANCH BORO-1353,377613,139397,P,SW,41,1,0,0,2023-01-01,2019-01-09,Interim Enhanced Surface Water Treatment Rule,06/30/2026
NV0000175,NORTH LAS VEGAS UTILITIES,NV,Clark,NORTH LAS VEGAS,376515,107459,L,SWP,1,0,0,0,1994-01-09,,,06/17/2026
WA5391200,VANCOUVER CITY OF,WA,Clark,Vancouver,373047,113388,L,GW,49,0,0,0,2014-01-10,,,06/19/2026
AR0000465,CENTRAL ARKANSAS WATER,AR,Pulaski,LITTLE ROCK,368455,167722,L,SW,1,0,0,0,2014-01-04,,,05/12/2026
OH4801411,TOLEDO CITY OF,OH,Lucas,TOLEDO,360000,130000,L,SW,10,3,1,0,2026-01-01,2023-01-03,Interim Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule; TTHM,05/15/2026
SC4010001,COLUMBIA CITY OF (SC4010001),SC,Richland,COLUMBIA,354068,153754,L,SW,23,13,1,0,2024-01-12,2024-01-12,Chlorite; Coliform (TCR); Interim Enhanced Surface Water Treatment Rule; Revised Total Coliform Rule,06/29/2026
CT0150011,AQUARION-EASTERN FAIRFIELD COUNTY,CT,Fairfield,BEACON FALLS; BRIDGEPORT; DARIEN; EASTON; FAIRFIELD; GREENWICH; MONROE; NEW CANAAN; NEWTOWN; NORWALK; REDDING; RIDGEFIELD; SEYMOUR; SHELTON; STAMFORD; STRATFORD; TRUMBULL; WESTON; WESTPORT; WILTON,351756,108501,P,SW,155,2,0,0,2022-05-09,1992-01-01,Surface Water Treatment Rule,06/29/2026
NY3304336,OCWA,NY,Onondaga,SYRACUSE (C),350000,100948,M,SW,4,2,0,0,2010-01-12,2010-01-12,Lead and Copper Rule; Surface Water Treatment Rule,06/25/2026
FL6521715,"ST PETERSBURG, CITY OF",FL,Pinellas,ODESSA,349979,97554,L,SWP,10,0,0,0,2025-01-01,,,05/18/2026
CA3010001,CITY OF ANAHEIM,CA,Orange,ANAHEIM,348593,62288,L,SW,4,0,0,0,2025-01-07,,,06/22/2026
FL6411132,MANATEE COUNTY UTILITIES  DEPT,FL,Manatee,BRADENTON,347800,130752,L,SW,5,1,0,0,2025-01-06,1993-01-02,Coliform (TCR),05/18/2026
WA5383100,SPOKANE CITY OF,WA,Spokane,Spokane,346138,87171,L,GW,1,0,0,0,1979-01-10,,,06/19/2026
CA0110001,ALAMEDA COUNTY WATER DISTRICT,CA,Alameda,FREMONT,344000,86959,L,SW,4,2,0,0,1996-01-04,1996-01-04,Coliform (TCR); Surface Water Treatment Rule,06/22/2026
NV0000076,HENDERSON CITY OF,NV,Clark,HENDERSON,336534,131234,L,SWP,3,0,0,0,1991-01-07,,,06/17/2026
LA1071009,NEW ORLEANS CARROLLTON WATER WORKS,LA,Orleans Parish,NEW ORLEANS,334903,137049,L,SW,7,1,1,0,2025-01-01,2025-01-01,Interim Enhanced Surface Water Treatment Rule,06/23/2026
VA6107350,LOUDOUN WATER - CENTRAL SYSTEM,VA,Loudoun,ASHBURN,334808,83426,L,SW,14,2,0,0,2023-01-10,1993-01-12,Coliform (TCR),05/19/2026
NC0332010,"DURHAM, CITY OF",NC,Durham,DURHAM,333490,93952,L,SW,70,1,0,0,2023-11-02,2009-01-01,Total Haloacetic Acids (HAA5),06/26/2026
RI1592024,PROVIDENCE-CITY OF,RI,Providence,CRANSTON; JOHNSTON; NORTH PROVIDENCE; PROVIDENCE,333142,79554,L,SW,11,3,0,0,2025-10-11,2018-01-07,Lead and Copper Rule; TTHM,05/26/2026
VA4087125,HENRICO COUNTY WATER SYSTEM,VA,Henrico,HENRICO,330000,95816,L,SW,4,3,0,0,2004-01-01,2004-01-01,Coliform (TCR); Lead and Copper Rule,05/19/2026
SC1010001,CHARLESTON WATER SYSTEM (SC1010001),SC,Charleston,CHARLESTON,327422,146569,L,SW,16,5,0,0,2004-01-07,1984-12-07,TTHM,06/29/2026
WA5305575,BELLEVUE CITY OF,WA,King,Bellevue,321349,73007,L,SWP,9,2,0,0,2011-01-07,1995-01-01,Coliform (TCR); Lead and Copper Rule,06/19/2026
NC0241010,"GREENSBORO, CITY OF",NC,Guilford,GREENSBORO,319588,109160,L,SW,8,0,0,0,2025-01-01,,,06/26/2026
TX1780003,CITY OF CORPUS CHRISTI,TX,Nueces,CORPUS CHRISTI,318387,105431,L,SW,17,9,0,0,2021-01-02,2021-01-02,Coliform (TCR); Interim Enhanced Surface Water Treatment Rule; TTHM,06/26/2026
NY1400443,ECWA DIRECT,NY,Erie,AMHERST (T); BUFFALO (C); CHEEKTOWAGA (T); CLARENCE (T); CONCORD  (T); DEPEW (V); EVANS (T); LACKAWANNA (C); LANCASTER (V); SLOAN (V); TONAWANDA (C),313380,115486,M,SW,3,0,0,0,2017-01-04,,,06/25/2026
CA3010038,CITY OF SANTA ANA,CA,Orange,SANTA ANA,310539,45743,L,SWP,8,2,0,0,2021-01-10,1993-01-04,Coliform (TCR),06/22/2026
NJ1605002,PASSAIC VALLEY WATER COMMISSION,NJ,Passaic,LITTLE FALLS TWP.-1605,310483,53421,L,SW,25,12,0,0,2025-01-07,2021-01-07,Coliform (TCR); Lead and Copper Rule; Stage 1 Disinfectants and Disinfection Byproducts Rule; TTHM,06/30/2026
AL0000882,HUNTSVILLE UTILITIES WATER DEPT.,AL,Madison,HUNTSVILLE,310107,103369,L,SW,1,0,0,0,2020-01-01,,,05/18/2026
MI0002790,GRAND RAPIDS,MI,Kent,GRAND RAPIDS,306901,81816,L,SW,1,0,0,0,2000-01-01,,,06/23/2026
MO6010715,ST LOUIS CITY PWS,MO,St. Louis city,ST. LOUIS,304709,96080,L,SW,10,0,0,0,2027-06-12,,,06/16/2026
CA3310031,"RIVERSIDE, CITY OF",CA,Riverside,RIVERSIDE,298398,66567,L,GU,1,1,0,0,1981-01-06,1981-01-06,Nitrate,06/22/2026
GA0630000,CLAYTON COUNTY WATER AUTHORITY,GA,Clayton,MORROW,298374,87365,L,SW,4,1,0,0,2007-01-02,2007-01-02,Chlorine dioxide,06/12/2026
NE3110926,"LINCOLN, CITY OF",NE,Lancaster,LINCOLN,296000,83797,L,GU,2,2,0,0,2004-01-06,2004-01-06,Coliform (TCR),06/30/2026
